circuit_name,country,lap_length_km,base_lap_time,corners,straight_length_m
Liam Henderson Circuit,Australia,4.4,87,11,1050
Sagiwara Grand Prix Circuit,Japan,4.9,105,14,920
Autodromo di Valdivento,Italy,5.1,105,15,980
Circuito de Las Dunas,Spain,4.6,98,13,850
Schwarzwald Arena,Germany,3.8,82,14,650
Northmoor International Circuit,United Kingdom,5.7,128,17,1100
Autódromo do Cerrado,Brazil,4.8,100,14,900
Autódromo de la Pampa,Argentina,4.7,96,13,870
Tulpenring,Netherlands,4.5,91,18,700
Circuit de la Vallée du Rhône,France,4.2,91,13,780
Pista do Atlântico,Portugal,4.6,99,16,750
Siam Speedway,Thailand,4.5,90,13,900
Al-Rimal Circuit,Qatar,5.4,123,16,1080
